Common Name;Scientific Name
Amanita Fly Agaric;Amanita muscaria
Amanita Panther Cap;Amanita pantherina
Amanita False Panther Cap;Amanita excelsa
Amanita The Blusher;Amanita rubescens
Amanita Death Cap;Amanita phalloides
Amanita False Death Cap;Amanita citrina
Amanita Destroying Angel;Amanita virosa
Amanita Tawny Grisette;Amanita fulva
Lepiota Parasol Mushroom;Macrolepiota procera
Lepiota Shaggy Parasol;Chlorophyllum rhacodes
Lepiota Stinking Parasol;Lepiota cristata
Tricholoma Saffron Parasol;Macrolepiota rhacodes
Tricholoma The Deceiver;Laccaria laccata
Tricholoma Amethyst Deceiver;Laccaria amethystina
Tricholoma Wood Blewit;Lepista nuda
Tricholoma Field Blewit;Lepista personata
Tricholoma Clouded Agaric;Clitocybe nebularis
Tricholoma Club-footed Funnel Cap;Ampulloclitocybe clavipes
Tricholoma Common Funnel Cap;Infundibulicybe gibba
Tricholoma Aniseed Funnel Cap;Clitocybe odora
Tricholoma Ivory Clitocybe;Clitocybe dealbata
Tricholoma Wood Woolly-foot;Gymnopus peronatus
Tricholoma Russet Tough Shank;Gymnopus dryophilus
Tricholoma Clustered Tough Shank;Gymnopus confluens
Tricholoma Greasy Tough Shank;Rhodocollybia butyracea
Tricholoma Spotted Tough Shank;Rhodocollybia maculata
Tricholoma Fairy Ring Champignon;Marasmius oreades
Tricholoma Little Wheel Fungus;Marasmius rotula
Tricholoma Horse-hair Fungus;Gymnopus androsaceus
Tricholoma Bonnet Bell Cap;Mycena galericulata
Tricholoma Stump Bell Cap;Mycena inclinata
Tricholoma Tufted Bell Cap;Mycena arcangeliana
Tricholoma Milky Bell Cap;Mycena galopus
Tricholoma Small Bleeding Bell Cap;Mycena haematopus
Tricholoma Lilac Bell Cap;Mycena pura
Tricholoma Yellow-stemmed Bell Cap;Mycena epipterygia
Tricholoma Orange Bell Cap;Mycena leaiana
Tricholoma Orange Moss Agaric;Rickenella fibula
Tricholoma Umbrella Navel Cap;Tricholoma umbonatum
Tricholoma Rooting Shank;Hymenopellis radicata
Tricholoma Porcelain Mushroom;Mucidula mucida
Tricholoma Velvet Shank;Flammulina velutipes
Tricholoma Honey Fungus;Armillaria mellea
Tricholoma Bulbous Honey Fungus;Armillaria gallica
