Baseline_proba,Augmented_proba,Baseline_label,Augmented_label,Baseline_class,Augmented_class
0.46774545,0.48604524,0,0,edible,edible
0.73978406,0.3737526,1,0,poisonous,edible
0.53305894,0.37352487,1,0,poisonous,edible
0.37833107,0.40912265,0,0,edible,edible
0.40944862,0.4450462,0,0,edible,edible
0.5652683,0.47559714,1,0,poisonous,edible
0.15401718,0.28808728,0,0,edible,edible
0.809416,0.39284053,1,0,poisonous,edible
0.67736137,0.37428585,1,0,poisonous,edible
0.442247,0.4446259,0,0,edible,edible
0.65381,0.46213907,1,0,poisonous,edible
0.63073796,0.39434212,1,0,poisonous,edible
0.47940978,0.33812013,0,0,edible,edible
0.3222979,0.35358295,0,0,edible,edible
0.28147584,0.39648968,0,0,edible,edible
0.40875027,0.40621835,0,0,edible,edible
0.16506252,0.52756625,0,1,edible,poisonous
0.34024727,0.39234337,0,0,edible,edible
0.5085611,0.38631362,1,0,poisonous,edible
0.14565256,0.33947435,0,0,edible,edible
0.5210275,0.5380081,1,1,poisonous,poisonous
0.5165037,0.3514768,1,0,poisonous,edible
0.932063,0.41578493,1,0,poisonous,edible
0.43416363,0.3641862,0,0,edible,edible
0.3669332,0.5698331,0,1,edible,poisonous
0.47591773,0.5108058,0,1,edible,poisonous
0.19813281,0.4090913,0,0,edible,edible
0.12637615,0.38675496,0,0,edible,edible
0.76995295,0.37879622,1,0,poisonous,edible
0.06448258,0.48784712,0,0,edible,edible
0.88055027,0.41962087,1,0,poisonous,edible
0.54957676,0.46268633,1,0,poisonous,edible
0.2887048,0.358302,0,0,edible,edible
0.52420604,0.32395172,1,0,poisonous,edible
0.26128253,0.29331213,0,0,edible,edible
0.58778447,0.445835,1,0,poisonous,edible
0.83008015,0.33434528,1,0,poisonous,edible
0.49795184,0.36967573,0,0,edible,edible
0.9618217,0.45135048,1,0,poisonous,edible
0.8071655,0.33011767,1,0,poisonous,edible
0.6341042,0.65424496,1,1,poisonous,poisonous
0.8641553,0.50041205,1,1,poisonous,poisonous
0.70935494,0.4175083,1,0,poisonous,edible
0.6517121,0.3993864,1,0,poisonous,edible
0.112032145,0.5914937,0,1,edible,poisonous
0.73642206,0.40665346,1,0,poisonous,edible
0.33383003,0.47252503,0,0,edible,edible
0.321627,0.43237317,0,0,edible,edible
0.5990815,0.35974622,1,0,poisonous,edible
0.71994233,0.47157753,1,0,poisonous,edible
0.17060661,0.36694717,0,0,edible,edible
0.40594655,0.33729237,0,0,edible,edible
0.3878193,0.39110157,0,0,edible,edible
0.8546117,0.3169888,1,0,poisonous,edible
0.28003708,0.41772518,0,0,edible,edible
0.9608079,0.3206896,1,0,poisonous,edible
0.82238805,0.3678118,1,0,poisonous,edible
0.84966826,0.40238056,1,0,poisonous,edible
0.49828422,0.35366714,0,0,edible,edible
0.68649745,0.4065146,1,0,poisonous,edible
0.14929752,0.41382837,0,0,edible,edible
0.33190218,0.38312963,0,0,edible,edible
0.4151374,0.39312854,0,0,edible,edible
0.31230676,0.3305061,0,0,edible,edible
0.6329001,0.3792305,1,0,poisonous,edible
0.47051454,0.3507281,0,0,edible,edible
0.37152222,0.39673498,0,0,edible,edible
0.4781101,0.39430794,0,0,edible,edible
0.5582035,0.4411629,1,0,poisonous,edible
0.15329039,0.6084617,0,1,edible,poisonous
0.56503177,0.5571954,1,1,poisonous,poisonous
0.31789106,0.43555087,0,0,edible,edible
0.6653364,0.34142596,1,0,poisonous,edible
0.10819271,0.55698913,0,1,edible,poisonous
0.80371815,0.61506885,1,1,poisonous,poisonous
0.63159025,0.4286542,1,0,poisonous,edible
0.17210045,0.3791366,0,0,edible,edible
0.12845808,0.39155796,0,0,edible,edible
0.15988109,0.35805088,0,0,edible,edible
0.3890406,0.39128307,0,0,edible,edible
0.81177485,0.34816548,1,0,poisonous,edible
0.353768,0.3953129,0,0,edible,edible
0.63918704,0.32915872,1,0,poisonous,edible
0.70086205,0.40772468,1,0,poisonous,edible
0.3003941,0.45839608,0,0,edible,edible
0.91290265,0.37846234,1,0,poisonous,edible
0.5935067,0.41683692,1,0,poisonous,edible
0.9383621,0.3483361,1,0,poisonous,edible
0.96949637,0.3341831,1,0,poisonous,edible
0.25021312,0.3334399,0,0,edible,edible
0.56452936,0.42527053,1,0,poisonous,edible
0.71995014,0.457192,1,0,poisonous,edible
0.22587751,0.34722117,0,0,edible,edible
0.71358526,0.3758407,1,0,poisonous,edible
0.7116016,0.3893966,1,0,poisonous,edible
0.88828886,0.5561859,1,1,poisonous,poisonous
0.2367458,0.38005376,0,0,edible,edible
0.16231567,0.35508713,0,0,edible,edible
0.46305817,0.34905216,0,0,edible,edible
0.8405584,0.36711374,1,0,poisonous,edible
0.32534006,0.38382527,0,0,edible,edible
0.68708485,0.43200973,1,0,poisonous,edible
0.892119,0.55633366,1,1,poisonous,poisonous
