Baseline_proba,Augmented_proba,Augmented_2_proba,true_label,Baseline_label,Augmented_label,Augmented_2_label,Baseline_class,Augmented_class,Augmented_2_class
0.985342,0.758966,0.99943936,1.0,1,1,1,poisonous,poisonous,poisonous
0.7961871,0.8295992,0.99952435,1.0,1,1,1,poisonous,poisonous,poisonous
0.9698951,0.45385617,0.9983421,1.0,1,0,1,poisonous,edible,poisonous
0.968474,0.82075024,0.9997034,1.0,1,1,1,poisonous,poisonous,poisonous
0.98447186,0.7891817,0.99955964,1.0,1,1,1,poisonous,poisonous,poisonous
0.6739121,0.9500207,0.99878573,1.0,1,1,1,poisonous,poisonous,poisonous
0.8168595,0.8674373,0.9962464,1.0,1,1,1,poisonous,poisonous,poisonous
0.98844934,0.9764117,0.9998661,1.0,1,1,1,poisonous,poisonous,poisonous
0.58403504,0.55455464,0.9968197,1.0,1,1,1,poisonous,poisonous,poisonous
0.58829725,0.8679771,0.9754389,1.0,1,1,1,poisonous,poisonous,poisonous
0.80906993,0.90554404,0.99048084,1.0,1,1,1,poisonous,poisonous,poisonous
0.7493879,0.94330436,0.9915781,1.0,1,1,1,poisonous,poisonous,poisonous
0.9580441,0.84348613,0.9997658,1.0,1,1,1,poisonous,poisonous,poisonous
0.9959966,0.3214365,0.99844074,1.0,1,0,1,poisonous,edible,poisonous
0.8229759,0.6782662,0.08512288,1.0,1,1,0,poisonous,poisonous,edible
0.8093255,0.78451145,0.9994664,1.0,1,1,1,poisonous,poisonous,poisonous
0.925668,0.9014748,0.9989226,1.0,1,1,1,poisonous,poisonous,poisonous
0.58768165,0.4113562,0.98733133,1.0,1,0,1,poisonous,edible,poisonous
0.9516581,0.86864954,0.9885554,1.0,1,1,1,poisonous,poisonous,poisonous
0.5450546,0.4416654,0.9711444,1.0,1,0,1,poisonous,edible,poisonous
0.5660593,0.8201704,0.9969088,1.0,1,1,1,poisonous,poisonous,poisonous
0.9409055,0.90416944,0.9996269,1.0,1,1,1,poisonous,poisonous,poisonous
0.7917725,0.6100024,0.9997498,1.0,1,1,1,poisonous,poisonous,poisonous
0.87679344,0.48203084,0.9878398,1.0,1,0,1,poisonous,edible,poisonous
0.9717719,0.846198,0.99691546,1.0,1,1,1,poisonous,poisonous,poisonous
0.5373778,0.8030854,0.99028456,1.0,1,1,1,poisonous,poisonous,poisonous
0.34169814,0.21447979,0.9969386,1.0,0,0,1,edible,edible,poisonous
0.6546955,0.521858,0.99905306,1.0,1,1,1,poisonous,poisonous,poisonous
0.9669665,0.8699877,0.99616694,1.0,1,1,1,poisonous,poisonous,poisonous
0.89984196,0.7101643,0.9934838,1.0,1,1,1,poisonous,poisonous,poisonous
0.63679475,0.7386981,0.9999363,1.0,1,1,1,poisonous,poisonous,poisonous
0.9379774,0.72552973,0.9938221,1.0,1,1,1,poisonous,poisonous,poisonous
0.5406529,0.6955954,0.9985279,1.0,1,1,1,poisonous,poisonous,poisonous
0.9138536,0.85168296,0.9924141,1.0,1,1,1,poisonous,poisonous,poisonous
0.90075046,0.830964,0.99953973,1.0,1,1,1,poisonous,poisonous,poisonous
0.41203794,0.6295292,0.9951008,1.0,0,1,1,edible,poisonous,poisonous
0.33641323,0.5162085,0.9999276,1.0,0,1,1,edible,poisonous,poisonous
0.25954354,0.512384,0.99945605,1.0,0,1,1,edible,poisonous,poisonous
0.6567192,0.81920147,0.9955681,1.0,1,1,1,poisonous,poisonous,poisonous
0.6803879,0.94274926,0.999998,1.0,1,1,1,poisonous,poisonous,poisonous
0.82126004,0.7543777,0.8954675,1.0,1,1,1,poisonous,poisonous,poisonous
0.7597038,0.71266335,0.99898666,1.0,1,1,1,poisonous,poisonous,poisonous
0.8686035,0.918904,0.99761856,1.0,1,1,1,poisonous,poisonous,poisonous
0.8528721,0.5131882,0.99970835,1.0,1,1,1,poisonous,poisonous,poisonous
0.58473945,0.8240907,0.9976322,1.0,1,1,1,poisonous,poisonous,poisonous
0.5892345,0.3407886,0.99993825,1.0,1,0,1,poisonous,edible,poisonous
0.72466254,0.5705802,0.9999253,1.0,1,1,1,poisonous,poisonous,poisonous
0.8304188,0.7427692,0.8632505,1.0,1,1,1,poisonous,poisonous,poisonous
0.9450579,0.90086484,0.9993328,1.0,1,1,1,poisonous,poisonous,poisonous
0.61969763,0.9356837,0.9986144,1.0,1,1,1,poisonous,poisonous,poisonous
0.9856883,0.832615,0.9996167,1.0,1,1,1,poisonous,poisonous,poisonous
0.7562154,0.7409319,0.9890609,1.0,1,1,1,poisonous,poisonous,poisonous
0.9678827,0.93404025,0.9999693,1.0,1,1,1,poisonous,poisonous,poisonous
0.4425267,0.60404474,0.9990676,1.0,0,1,1,edible,poisonous,poisonous
0.5318069,0.7576996,0.9999617,1.0,1,1,1,poisonous,poisonous,poisonous
0.3333442,0.36151823,0.95935875,1.0,0,0,1,edible,edible,poisonous
0.46073666,0.75521684,0.9988461,1.0,0,1,1,edible,poisonous,poisonous
0.97686267,0.86214864,0.9998861,1.0,1,1,1,poisonous,poisonous,poisonous
0.85952145,0.94530195,0.998702,1.0,1,1,1,poisonous,poisonous,poisonous
0.9379774,0.72552973,0.9938221,1.0,1,1,1,poisonous,poisonous,poisonous
0.8150036,0.8341691,0.99576086,1.0,1,1,1,poisonous,poisonous,poisonous
0.9539009,0.826794,0.9967117,1.0,1,1,1,poisonous,poisonous,poisonous
0.47977784,0.7624616,0.9988536,1.0,0,1,1,edible,poisonous,poisonous
0.51301664,0.29840353,0.9991917,1.0,1,0,1,poisonous,edible,poisonous
0.5406529,0.6955954,0.9985279,1.0,1,1,1,poisonous,poisonous,poisonous
0.24504864,0.7632157,0.98332894,1.0,0,1,1,edible,poisonous,poisonous
0.48394212,0.54655004,0.59753567,1.0,0,1,1,edible,poisonous,poisonous
0.10491697,0.53140265,0.5945577,1.0,0,1,1,edible,poisonous,poisonous
0.9580441,0.84348613,0.9997658,1.0,1,1,1,poisonous,poisonous,poisonous
0.58403504,0.55455464,0.9968197,1.0,1,1,1,poisonous,poisonous,poisonous
0.7687027,0.43546948,0.9864768,1.0,1,0,1,poisonous,edible,poisonous
0.8582445,0.69062364,0.7018878,1.0,1,1,1,poisonous,poisonous,poisonous
0.58829725,0.8679771,0.9754389,1.0,1,1,1,poisonous,poisonous,poisonous
0.7234801,0.6484826,0.9992944,1.0,1,1,1,poisonous,poisonous,poisonous
0.74949545,0.8471308,0.19249651,1.0,1,1,0,poisonous,poisonous,edible
0.9865145,0.893769,0.99997926,1.0,1,1,1,poisonous,poisonous,poisonous
0.6377737,0.70999914,0.99991614,1.0,1,1,1,poisonous,poisonous,poisonous
0.9551817,0.8092975,0.9944979,1.0,1,1,1,poisonous,poisonous,poisonous
0.992229,0.95397407,0.9932398,1.0,1,1,1,poisonous,poisonous,poisonous
0.9588847,0.87759894,0.99587774,1.0,1,1,1,poisonous,poisonous,poisonous
0.9959966,0.3214365,0.99844074,1.0,1,0,1,poisonous,edible,poisonous
0.57863677,0.7268318,0.9772936,1.0,1,1,1,poisonous,poisonous,poisonous
0.56553626,0.28852984,0.7796402,1.0,1,0,1,poisonous,edible,poisonous
0.82588637,0.7677376,0.9999747,1.0,1,1,1,poisonous,poisonous,poisonous
0.8689226,0.8095436,0.9964393,1.0,1,1,1,poisonous,poisonous,poisonous
0.2672755,0.67602146,0.9844754,1.0,0,1,1,edible,poisonous,poisonous
0.70465946,0.8837628,0.9986797,1.0,1,1,1,poisonous,poisonous,poisonous
0.9379774,0.72552973,0.9938221,1.0,1,1,1,poisonous,poisonous,poisonous
0.78021574,0.886809,0.999525,1.0,1,1,1,poisonous,poisonous,poisonous
0.69146895,0.9224488,0.999405,1.0,1,1,1,poisonous,poisonous,poisonous
0.9698951,0.45385617,0.9983421,1.0,1,0,1,poisonous,edible,poisonous
0.9450585,0.8927172,0.99444866,1.0,1,1,1,poisonous,poisonous,poisonous
0.98447186,0.7891817,0.99955964,1.0,1,1,1,poisonous,poisonous,poisonous
0.67659074,0.87315995,0.99995536,1.0,1,1,1,poisonous,poisonous,poisonous
0.942759,0.9514368,0.99994665,1.0,1,1,1,poisonous,poisonous,poisonous
0.8816491,0.87252676,0.99481153,1.0,1,1,1,poisonous,poisonous,poisonous
0.75670123,0.41450968,0.99999374,1.0,1,0,1,poisonous,edible,poisonous
0.5252767,0.49161503,0.9443219,1.0,1,0,1,poisonous,edible,poisonous
0.58288425,0.4811931,0.9965474,1.0,1,0,1,poisonous,edible,poisonous
0.98818946,0.8827318,0.99987125,1.0,1,1,1,poisonous,poisonous,poisonous
